id,stock_id,date,close,open,high,low
1,1,2021-06-28,688.72,671.64,694.7,670.32
2,1,2021-06-25,671.87,689.58,693.81,668.7
3,1,2021-06-24,679.82,674.99,697.62,667.61
4,1,2021-06-23,656.57,632,657.2,630.04
5,1,2021-06-22,623.71,618.25,628.57,615.5
6,1,2021-06-21,620.83,624.48,631.39,608.88
7,1,2021-06-18,623.31,613.37,628.35,611.8
8,1,2021-06-17,616.6,601.89,621.47,601.34
9,1,2021-06-16,604.87,597.54,608.5,593.5
10,1,2021-06-15,599.36,616.69,616.79,598.23
11,1,2021-06-14,617.69,612.23,625.49,609.18
12,1,2021-06-11,609.89,610.23,612.56,601.52
13,1,2021-06-10,610.12,603.88,616.59,600.5
14,1,2021-06-09,598.78,602.17,611.79,597.63
15,1,2021-06-08,603.59,623.01,623.09,595.5
16,1,2021-06-07,605.13,591.83,610,582.88
17,1,2021-06-04,599.05,579.71,600.61,577.2
18,1,2021-06-03,572.84,601.8,604.55,571.22
19,1,2021-06-02,605.12,620.13,623.36,599.14
20,1,2021-06-01,623.9,627.8,633.8,620.55
21,1,2021-05-28,625.22,628.5,635.59,622.38
22,1,2021-05-27,630.85,620.24,631.13,616.21
23,1,2021-05-26,619.13,607.56,626.17,601.5
24,1,2021-05-25,604.69,607.31,613.99,595.71
25,1,2021-05-24,606.44,581.6,614.48,573.65
26,1,2021-05-21,580.88,596.11,596.68,580
27,1,2021-05-20,586.78,575,588.85,571.07
28,1,2021-05-19,563.46,552.55,566.21,546.98
29,1,2021-05-18,577.87,568,596.25,563.38
30,1,2021-05-17,576.83,575.55,589.73,561.2
31,1,2021-05-14,589.74,583.41,592.87,570.46
32,1,2021-05-13,571.69,601.55,606.46,559.65
33,1,2021-05-12,589.89,602.49,620.41,586.77
34,1,2021-05-11,617.2,599.24,627.1,595.6
35,1,2021-05-10,629.04,664.9,665.05,627.61
36,1,2021-05-07,672.37,665.8,690,660.22
37,1,2021-05-06,663.54,680.76,681.02,650
38,1,2021-05-05,670.94,681.06,685.3,667.34
39,1,2021-05-04,673.6,678.94,683.45,657.7
40,1,2021-05-03,684.9,703.8,706,680.5
41,1,2021-04-30,709.44,667.59,715.47,666.14
42,1,2021-04-29,677,699.51,702.25,668.5
43,1,2021-04-28,694.4,696.41,708.5,693.6
44,1,2021-04-27,704.74,717.96,724,703.35
45,1,2021-04-26,738.2,741,749.3,732.61
46,1,2021-04-23,729.4,719.8,737.36,715.46
47,1,2021-04-22,719.69,741.5,753.77,718.04
48,1,2021-04-21,744.12,704.77,744.84,698
49,1,2021-04-20,718.99,717.42,737.25,710.69
50,1,2021-04-19,714.63,719.6,725.4,691.8
51,1,2021-04-16,739.78,728.65,749.41,724.6
