id,Date,Close,Volume,Open,High,Low
1,2021-06-28,$688.72 ,21628160,$671.64 ,$694.70 ,$670.32 
1,2021-06-25,$671.87 ,32496710,$689.58 ,$693.81 ,$668.70 
1,2021-06-24,$679.82 ,45982390,$674.99 ,$697.62 ,$667.61 
1,2021-06-23,$656.57 ,31099230,$632 ,$657.20 ,$630.04 
1,2021-06-22,$623.71 ,19158890,$618.25 ,$628.57 ,$615.50 
1,2021-06-21,$620.83 ,24812740,$624.48 ,$631.39 ,$608.88 
1,2021-06-18,$623.31 ,24560910,$613.37 ,$628.35 ,$611.80 
1,2021-06-17,$616.60 ,22701350,$601.89 ,$621.47 ,$601.34 
1,2021-06-16,$604.87 ,22144130,$597.54 ,$608.50 ,$593.50 
1,2021-06-15,$599.36 ,17764150,$616.69 ,$616.79 ,$598.23 
1,2021-06-14,$617.69 ,20423980,$612.23 ,$625.49 ,$609.18 
1,2021-06-11,$609.89 ,16205300,$610.23 ,$612.56 ,$601.52 
1,2021-06-10,$610.12 ,23919610,$603.88 ,$616.59 ,$600.50 
1,2021-06-09,$598.78 ,16584570,$602.17 ,$611.79 ,$597.63 
1,2021-06-08,$603.59 ,26053410,$623.01 ,$623.09 ,$595.50 
1,2021-06-07,$605.13 ,22543680,$591.83 ,$610 ,$582.88 
1,2021-06-04,$599.05 ,24036900,$579.71 ,$600.61 ,$577.20 
1,2021-06-03,$572.84 ,30111890,$601.80 ,$604.55 ,$571.22 
1,2021-06-02,$605.12 ,23302780,$620.13 ,$623.36 ,$599.14 
1,2021-06-01,$623.90 ,18084890,$627.80 ,$633.80 ,$620.55 
1,2021-05-28,$625.22 ,22737040,$628.50 ,$635.59 ,$622.38 
1,2021-05-27,$630.85 ,26370590,$620.24 ,$631.13 ,$616.21 
1,2021-05-26,$619.13 ,28639310,$607.56 ,$626.17 ,$601.50 
1,2021-05-25,$604.69 ,28005930,$607.31 ,$613.99 ,$595.71 
1,2021-05-24,$606.44 ,34558090,$581.60 ,$614.48 ,$573.65 
1,2021-05-21,$580.88 ,26030600,$596.11 ,$596.68 ,$580 
1,2021-05-20,$586.78 ,30821120,$575 ,$588.85 ,$571.07 
1,2021-05-19,$563.46 ,39578400,$552.55 ,$566.21 ,$546.98 
1,2021-05-18,$577.87 ,36830570,$568 ,$596.25 ,$563.38 
1,2021-05-17,$576.83 ,32247800,$575.55 ,$589.73 ,$561.20 
1,2021-05-14,$589.74 ,33370860,$583.41 ,$592.87 ,$570.46 
1,2021-05-13,$571.69 ,44184920,$601.55 ,$606.46 ,$559.65 
1,2021-05-12,$589.89 ,33823650,$602.49 ,$620.41 ,$586.77 
1,2021-05-11,$617.20 ,46503900,$599.24 ,$627.10 ,$595.60 
1,2021-05-10,$629.04 ,31392420,$664.90 ,$665.05 ,$627.61 
1,2021-05-07,$672.37 ,23469170,$665.80 ,$690 ,$660.22 
1,2021-05-06,$663.54 ,27784620,$680.76 ,$681.02 ,$650 
1,2021-05-05,$670.94 ,21901890,$681.06 ,$685.30 ,$667.34 
1,2021-05-04,$673.60 ,29739320,$678.94 ,$683.45 ,$657.70 
1,2021-05-03,$684.90 ,27043140,$703.80 ,$706 ,$680.50 
1,2021-04-30,$709.44 ,40758720,$667.59 ,$715.47 ,$666.14 
1,2021-04-29,$677 ,28845450,$699.51 ,$702.25 ,$668.50 
1,2021-04-28,$694.40 ,22271050,$696.41 ,$708.50 ,$693.60 
1,2021-04-27,$704.74 ,29437000,$717.96 ,$724 ,$703.35 
1,2021-04-26,$738.20 ,31038500,$741 ,$749.30 ,$732.61 
1,2021-04-23,$729.40 ,28413890,$719.80 ,$737.36 ,$715.46 
1,2021-04-22,$719.69 ,35590260,$741.50 ,$753.77 ,$718.04 
1,2021-04-21,$744.12 ,31215510,$704.77 ,$744.84 ,$698 
1,2021-04-20,$718.99 ,35609040,$717.42 ,$737.25 ,$710.69 
1,2021-04-19,$714.63 ,39686230,$719.60 ,$725.40 ,$691.80 
1,2021-04-16,$739.78 ,27979530,$728.65 ,$749.41 ,$724.60 
1,2021-04-15,$738.85 ,27848900,$743.10 ,$743.69 ,$721.31 
1,2021-04-14,$732.23 ,49017430,$770.70 ,$780.79 ,$728.03 
1,2021-04-13,$762.32 ,44652810,$712.70 ,$763 ,$710.66 
1,2021-04-12,$701.98 ,29135670,$685.70 ,$704.80 ,$682.09 
1,2021-04-09,$677.02 ,21437090,$677.77 ,$680.97 ,$669.43 
1,2021-04-08,$683.80 ,23924330,$677.38 ,$689.55 ,$671.65 
1,2021-04-07,$670.97 ,26309430,$687 ,$691.38 ,$667.84 
1,2021-04-06,$691.62 ,28271840,$690.30 ,$696.55 ,$681.37 
1,2021-04-05,$691.05 ,41842770,$707.71 ,$708.16 ,$684.70 
1,2021-04-01,$661.75 ,35298380,$688.37 ,$692.42 ,$659.42 
1,2021-03-31,$667.93 ,33337290,$646.62 ,$672 ,$641.11 
1,2021-03-30,$635.62 ,39432360,$601.75 ,$637.66 ,$591.01 
1,2021-03-29,$611.29 ,28636990,$615.64 ,$616.48 ,$596.02 
1,2021-03-26,$618.71 ,33852830,$641.87 ,$643.82 ,$599.89 
1,2021-03-25,$640.39 ,39224850,$613 ,$645.50 ,$609.50 
1,2021-03-24,$630.27 ,33795170,$667.91 ,$668.02 ,$630.11 
1,2021-03-23,$662.16 ,30491870,$675.77 ,$677.80 ,$657.51 
1,2021-03-22,$670 ,39512220,$684.59 ,$699.62 ,$668.75 
1,2021-03-19,$654.87 ,42893980,$646.60 ,$657.23 ,$624.62 
1,2021-03-18,$653.16 ,33369020,$684.29 ,$689.23 ,$652 
1,2021-03-17,$701.81 ,40372450,$656.87 ,$703.73 ,$651.01 
1,2021-03-16,$676.88 ,32195670,$703.35 ,$707.92 ,$671 
1,2021-03-15,$707.94 ,29423480,$694.09 ,$713.18 ,$684.04 
1,2021-03-12,$693.73 ,33583840,$670 ,$694.88 ,$666.14 
1,2021-03-11,$699.60 ,36253890,$699.40 ,$702.50 ,$677.18 
1,2021-03-10,$668.06 ,60605670,$700.30 ,$717.85 ,$655.06 
1,2021-03-09,$673.58 ,67523330,$608.18 ,$678.09 ,$595.21 
1,2021-03-08,$563 ,51786960,$600.55 ,$620.13 ,$558.79 
1,2021-03-05,$597.95 ,89396460,$626.06 ,$627.84 ,$539.49 
1,2021-03-04,$621.44 ,65919530,$655.80 ,$873.94 ,$600 
1,2021-03-03,$653.20 ,30207960,$687.99 ,$700.70 ,$651.71 
1,2021-03-02,$686.44 ,23732160,$718.28 ,$721.11 ,$685 
1,2021-03-01,$718.43 ,27136240,$690.11 ,$872 ,$685.05 
1,2021-02-26,$675.50 ,41089170,$700 ,$706.70 ,$659.51 
1,2021-02-25,$682.22 ,39023860,$726.15 ,$737.21 ,$670.58 
