stock_id,date,close,open,high,low
1,2021-06-28,688.72,671.64,694.7,670.32
1,2021-06-25,671.87,689.58,693.81,668.7
1,2021-06-24,679.82,674.99,697.62,667.61
1,2021-06-23,656.57,632,657.2,630.04
1,2021-06-22,623.71,618.25,628.57,615.5
1,2021-06-21,620.83,624.48,631.39,608.88
1,2021-06-18,623.31,613.37,628.35,611.8
1,2021-06-17,616.6,601.89,621.47,601.34
1,2021-06-16,604.87,597.54,608.5,593.5
1,2021-06-15,599.36,616.69,616.79,598.23
1,2021-06-14,617.69,612.23,625.49,609.18
1,2021-06-11,609.89,610.23,612.56,601.52
1,2021-06-10,610.12,603.88,616.59,600.5
1,2021-06-09,598.78,602.17,611.79,597.63
1,2021-06-08,603.59,623.01,623.09,595.5
1,2021-06-07,605.13,591.83,610,582.88
1,2021-06-04,599.05,579.71,600.61,577.2
1,2021-06-03,572.84,601.8,604.55,571.22
1,2021-06-02,605.12,620.13,623.36,599.14
1,2021-06-01,623.9,627.8,633.8,620.55
1,2021-05-28,625.22,628.5,635.59,622.38
1,2021-05-27,630.85,620.24,631.13,616.21
1,2021-05-26,619.13,607.56,626.17,601.5
1,2021-05-25,604.69,607.31,613.99,595.71
1,2021-05-24,606.44,581.6,614.48,573.65
1,2021-05-21,580.88,596.11,596.68,580
1,2021-05-20,586.78,575,588.85,571.07
1,2021-05-19,563.46,552.55,566.21,546.98
1,2021-05-18,577.87,568,596.25,563.38
1,2021-05-17,576.83,575.55,589.73,561.2
1,2021-05-14,589.74,583.41,592.87,570.46
1,2021-05-13,571.69,601.55,606.46,559.65
1,2021-05-12,589.89,602.49,620.41,586.77
1,2021-05-11,617.2,599.24,627.1,595.6
1,2021-05-10,629.04,664.9,665.05,627.61
1,2021-05-07,672.37,665.8,690,660.22
1,2021-05-06,663.54,680.76,681.02,650
1,2021-05-05,670.94,681.06,685.3,667.34
1,2021-05-04,673.6,678.94,683.45,657.7
1,2021-05-03,684.9,703.8,706,680.5
1,2021-04-30,709.44,667.59,715.47,666.14
1,2021-04-29,677,699.51,702.25,668.5
1,2021-04-28,694.4,696.41,708.5,693.6
1,2021-04-27,704.74,717.96,724,703.35
1,2021-04-26,738.2,741,749.3,732.61
1,2021-04-23,729.4,719.8,737.36,715.46
1,2021-04-22,719.69,741.5,753.77,718.04
1,2021-04-21,744.12,704.77,744.84,698
1,2021-04-20,718.99,717.42,737.25,710.69
1,2021-04-19,714.63,719.6,725.4,691.8
1,2021-04-16,739.78,728.65,749.41,724.6
1,2021-04-15,738.85,743.1,743.69,721.31
1,2021-04-14,732.23,770.7,780.79,728.03
1,2021-04-13,762.32,712.7,763,710.66
1,2021-04-12,701.98,685.7,704.8,682.09
1,2021-04-09,677.02,677.77,680.97,669.43
1,2021-04-08,683.8,677.38,689.55,671.65
1,2021-04-07,670.97,687,691.38,667.84
1,2021-04-06,691.62,690.3,696.55,681.37
1,2021-04-05,691.05,707.71,708.16,684.7
1,2021-04-01,661.75,688.37,692.42,659.42
1,2021-03-31,667.93,646.62,672,641.11
1,2021-03-30,635.62,601.75,637.66,591.01
1,2021-03-29,611.29,615.64,616.48,596.02
1,2021-03-26,618.71,641.87,643.82,599.89
1,2021-03-25,640.39,613,645.5,609.5
1,2021-03-24,630.27,667.91,668.02,630.11
1,2021-03-23,662.16,675.77,677.8,657.51
1,2021-03-22,670,684.59,699.62,668.75
1,2021-03-19,654.87,646.6,657.23,624.62
1,2021-03-18,653.16,684.29,689.23,652
1,2021-03-17,701.81,656.87,703.73,651.01
1,2021-03-16,676.88,703.35,707.92,671
1,2021-03-15,707.94,694.09,713.18,684.04
1,2021-03-12,693.73,670,694.88,666.14
1,2021-03-11,699.6,699.4,702.5,677.18
1,2021-03-10,668.06,700.3,717.85,655.06
1,2021-03-09,673.58,608.18,678.09,595.21
1,2021-03-08,563,600.55,620.13,558.79
1,2021-03-05,597.95,626.06,627.84,539.49
1,2021-03-04,621.44,655.8,873.94,600
1,2021-03-03,653.2,687.99,700.7,651.71
1,2021-03-02,686.44,718.28,721.11,685
1,2021-03-01,718.43,690.11,872,685.05
1,2021-02-26,675.5,700,706.7,659.51
1,2021-02-25,682.22,726.15,737.21,670.58
1,2021-02-24,742.02,711.85,745,694.17
1,2021-02-23,698.84,662.13,713.61,619
1,2021-02-22,714.5,762.64,768.5,710.2
1,2021-02-19,781.3,795,796.79,777.37
1,2021-02-18,787.38,780.9,794.69,776.27
1,2021-02-17,798.15,779.09,799.84,762.01
1,2021-02-16,796.22,818,821,792.44
1,2021-02-12,816.12,801.26,817.33,785.33
1,2021-02-11,811.66,812.44,829.88,801.73
1,2021-02-10,804.82,843.64,844.82,800.02
1,2021-02-09,849.46,855.12,859.8,841.75
1,2021-02-08,863.42,869.67,877.77,854.75
1,2021-02-05,852.23,845,864.77,838.97
1,2021-02-04,849.99,855,856.5,833.42
1,2021-02-03,854.69,877.02,878.08,853.06
1,2021-02-02,872.79,844.68,880.5,842.2
1,2021-02-01,839.81,814.29,842,795.56
1,2021-01-29,793.53,830,842.41,780.1
1,2021-01-28,835.43,820,848,801
1,2021-01-27,864.16,870.35,891.5,858.66
1,2021-01-26,883.09,891.38,895.9,871.6
1,2021-01-25,880.8,855,900.4,838.82
1,2021-01-22,846.64,834.31,848,828.62
1,2021-01-21,844.99,855,855.72,841.42
1,2021-01-20,850.45,858.74,859.5,837.28
1,2021-01-19,844.55,837.8,850,833
1,2021-01-15,826.16,852,859.9,819.1
1,2021-01-14,845,843.39,863,838.75
1,2021-01-13,854.41,852.76,860.47,832
1,2021-01-12,849.44,831,868,827.34
1,2021-01-11,811.19,849.4,854.43,803.62
1,2021-01-08,880.02,856,884.49,838.39
1,2021-01-07,816.04,777.63,816.99,775.2
1,2021-01-06,755.98,758.49,774,749.1
1,2021-01-05,735.11,723.66,740.84,719.2
1,2021-01-04,729.77,719.46,744.49,717.19
1,2020-12-31,705.67,699.99,718.72,691.12
1,2020-12-30,694.78,672,696.6,668.36
1,2020-12-29,665.99,661,669.9,655
1,2020-12-28,663.69,674.51,681.4,660.8
1,2020-12-24,661.77,642.99,666.09,641
1,2020-12-23,645.98,632.2,651.5,622.57
1,2020-12-22,640.34,648,649.88,614.23
1,2020-12-21,649.86,666.24,668.5,646.07
1,2020-12-18,695,668.9,695,628.54
1,2020-12-17,655.9,628.19,658.82,619.5
1,2020-12-16,622.77,628.23,632.5,605
1,2020-12-15,633.25,643.28,646.9,623.8
1,2020-12-14,639.83,619,642.75,610.2
1,2020-12-11,609.99,615.01,624,596.8
1,2020-12-10,627.07,574.37,627.75,566.34
1,2020-12-09,604.48,653.69,654.32,588
1,2020-12-08,649.88,625.51,651.28,618.5
1,2020-12-07,641.76,604.92,648.79,603.05
1,2020-12-04,599.04,591.01,599.04,585.5
1,2020-12-03,593.38,590.02,598.97,582.43
1,2020-12-02,568.82,556.44,571.54,541.21
